"hotel_id","booking_id","customer_id","selling_price_local_currency","currency,to_usd_exchange_rate"
"1000134","1000000","4e9a8620-7791-4125-be33-7229ff441be0","939","SGD","0.76"
"1000351","1000001","7ac534a5-ec17-48a4-9149-cc260ee3a653","597","THB","0.033"
"1000271","1000002","5911d6a8-e70e-42d6-9c2e-cc2a9c5e2690","924","SGD","0.76"
"1000194","1000003","00c6cf82-d248-4b3f-86b2-8bd73ca856ee","162","EUR","1.21"
"1000396","1000004","065e7bbf-0912-481f-8c8c-861df66a1d03","844","THB","0.033"
"1000382","1000005","d9ddbb47-939a-4bca-a429-df3eed7cfc7c","593","SGD","0.76"
"1000370","1000006","9e80a7c0-7ec4-4f6a-a799-b08e921d4f16","525","THB","0.033"
"1000064","1000007","b248e5b4-b016-47dc-a204-0f134d3b99df","488","EUR","1.21"
"1000124","1000008","7e0c3308-147d-43f9-bc9d-091dbadecd45","848","SGD","0.76"
"1000175","1000009","3d821da4-592b-450c-8d5d-1aba0d0dad28","41","EUR","1.21"
"1000383","1000010","4ed07c4a-0022-4f50-bd54-28b51170779e","802","EUR","1.21"
"1000134","1000011","430b3e81-1ff7-4ad0-abe6-bb4606e63b1f","567","SGD","0.76"
"1000358","1000012","a3d21728-639d-42fa-8d70-f536e428d8d0","222","EUR","1.21"
"1000157","1000013","dbdf6cef-5238-4c34-a014-ee2c8c03d3f9","32","EUR","1.21"
"1000009","1000014","e414c598-16db-40e7-8244-283788b8bf92","336","EUR","1.21"
"1000400","1000015","f2005116-3595-4e8b-a4f2-cb707a508ee9","676","THB","0.033"
"1000379","1000016","c520557b-865e-4843-9efd-be7b82e1377e","991","SGD","0.76"
"1000204","1000017","dc1674b2-3d4c-4108-888f-3299f7507c14","416","EUR","1.21"
"1000400","1000018","fd9f8392-ab2f-4d09-a15c-571b2229ad33","938","EUR","1.21"
"1000286","1000019","c55bc25a-7cbe-4d5a-8dcf-c7e11357e00b","516","SGD","0.76"
"1000252","1000020","09af5367-0b51-4e1b-8da5-6b002c0eb327","928","SGD","0.76"
"1000309","1000021","309c910c-4b05-48c6-bfd0-8b21dfd5744d","715","SGD","0.76"
"1000329","1000022","8e86af14-201e-47d8-a112-0db5816028d1","433","EUR","1.21"
"1000088","1000023","81b8c7b4-1919-4e1e-ba22-eb91f54f03b9","869","EUR","1.21"
"1000107","1000024","3b81d2bb-e3ef-4668-8c80-c2bb8c09095e","680","EUR","1.21"
"1000301","1000025","4f03e5ac-3c0a-405e-99f4-a1d90707af81","707","EUR","1.21"
"1000164","1000026","600552ac-cb69-48e3-8da6-4453e5af4b77","500","EUR","1.21"
"1000216","1000027","780370e5-b3d4-4c55-aeb6-a1fcbf5ce66b","704","EUR","1.21"
"1000335","1000028","fc826d0e-7ff1-4f31-bb93-faac504824a8","835","EUR","1.21"
"1000113","1000029","c95a23a8-6a5b-4073-a88e-11e37707e1f2","224","THB","0.033"
"1000037","1000030","dacd49f2-9c45-4311-98be-f800f60478ad","945","THB","0.033"
"1000017","1000031","2ea14a01-9440-4d5b-954a-a450e4a5f6b3","641","EUR","1.21"
"1000299","1000032","ca2a995a-13a5-4715-856c-e7bba3adfe1e","18","SGD","0.76"
"1000053","1000033","2f2a4fe1-df4b-489f-96a2-38975b75fa69","289","EUR","1.21"
"1000394","1000034","e3c6caeb-fd70-455c-94e3-c95efe6c6257","68","SGD","0.76"
"1000184","1000035","def540e2-67e6-41b3-b2df-687719ec7fb9","315","EUR","1.21"
"1000230","1000036","89fce17c-e78c-495b-9fb5-56fb3c405e36","926","THB","0.033"
"1000112","1000037","dbbdc519-5f7f-4235-a450-3c6565e39f9d","222","EUR","1.21"
"1000260","1000038","5b242b67-e5a1-4964-83a3-2ad1fc176a36","658","THB","0.033"
"1000368","1000039","431b42fc-d0f3-44e8-97eb-faeebae22fda","854","THB","0.033"
"1000324","1000040","3927116d-b4eb-4c7b-9b6b-8f0323f0fb66","785","THB","0.033"
"1000341","1000041","0975d173-e721-48a5-9a97-40031a1f0344","656","EUR","1.21"
"1000123","1000042","ccd790d5-daa0-4526-81d6-1ba7c1454095","922","THB","0.033"
"1000083","1000043","17b4e4b0-9b8e-49e2-8741-9dc1ae7f248e","917","THB","0.033"
"1000349","1000044","17da3dde-47d7-48a8-a36f-0bd82497da17","570","SGD","0.76"
"1000145","1000045","8d2cb532-f1d1-4e0e-a79b-efa6791f589a","605","THB","0.033"
"1000053","1000046","4702380c-b2c8-4b9b-ae2d-15d23e6c0bb8","338","EUR","1.21"
"1000081","1000047","40290b35-a7c7-448c-9091-0543f360a835","28","EUR","1.21"
"1000341","1000048","baa6ea58-96bb-4f88-914a-b210192d6ba0","677","THB","0.033"
"1000135","1000049","1f983faf-54e7-4729-9dca-cd61ff4a1859","458","THB","0.033"
"1000345","1000050","cdbacb3e-d563-427c-9789-7b84d1426867","613","THB","0.033"
"1000225","1000051","dc8a0742-642e-405b-9f39-e1b13c34e2f0","934","THB","0.033"
"1000364","1000052","d58afd94-1e0b-44cb-be58-1b0a952eb29e","663","EUR","1.21"
"1000004","1000053","cd76bb99-2346-4d76-8a56-63f2cd94f336","467","SGD","0.76"
"1000006","1000054","adaf5ca4-fdc9-48d0-9ca6-2faa95c7c6ac","284","SGD","0.76"
"1000029","1000055","6f801e81-eb5c-4e26-9dc5-62ccf3b09f52","331","SGD","0.76"
"1000009","1000056","af04ee95-9044-4bf9-a806-5c65d237a8fb","84","SGD","0.76"
"1000206","1000057","4e785ae5-1a1c-486e-97c1-e27e22ebcd3c","33","THB","0.033"
"1000288","1000058","bbad167f-c310-465e-9f60-5d66fd58ac60","78","THB","0.033"
"1000108","1000059","9ff3f481-fa0b-4f7f-a049-344e165ccfdf","410","THB","0.033"
"1000155","1000060","4f03e5ac-3c0a-405e-99f4-a1d90707af81","979","SGD","0.76"
"1000122","1000061","1a0e6966-6213-4727-8e64-fa786bfbd6c4","415","SGD","0.76"
"1000068","1000062","af92d574-d9b0-4261-a639-3d5bfb1552d7","13","THB","0.033"
"1000126","1000063","d516d944-a434-4e01-b35b-4b543600eeb0","383","SGD","0.76"
"1000372","1000064","588afda9-87a8-4904-bf97-f1a5411fbae6","181","THB","0.033"
"1000374","1000065","6525902f-a0ae-473e-929c-65d9621fa91f","20","THB","0.033"
"1000326","1000066","3982d38a-676b-4605-9c67-ffb7d53b29df","631","SGD","0.76"
"1000343","1000067","c797e056-c48c-4638-aaed-83f1249f22f8","441","THB","0.033"
"1000064","1000068","e8845f4e-e259-45ed-83f3-a2705483262d","833","SGD","0.76"
"1000304","1000069","26797bda-1384-4efd-8cd3-ab6ea4498d36","370","SGD","0.76"
"1000092","1000070","6c562513-69f8-45d6-954f-a1eb1167c124","260","SGD","0.76"
"1000332","1000071","1541f413-1009-4324-971a-6a14d758fbec","69","EUR","1.21"
"1000155","1000072","382159ba-41ab-4c4e-89c9-9a57dc5b8b87","84","THB","0.033"
"1000264","1000073","91bf878f-fa78-436c-9af3-8126f9d405ad","244","THB","0.033"
"1000001","1000074","eddf5c9c-9048-420d-8a90-2f3e5b5069b1","971","EUR","1.21"
"1000287","1000075","f57e85f3-b496-49fb-9093-d54db5b9fc6e","117","SGD","0.76"
"1000322","1000076","54c1c7be-68c4-42aa-94e2-804ba95abdfb","523","EUR","1.21"
"1000388","1000077","96946af1-555c-4e3e-a688-e1429e1cd2b9","872","THB","0.033"
"1000377","1000078","71b759bd-bfac-451e-8519-2258a0aaee47","347","SGD","0.76"
"1000115","1000079","a404906f-b385-4fbe-9343-97d5e07c157c","921","EUR","1.21"
"1000380","1000080","bb983b63-7038-4498-806f-621abcd65e81","197","SGD","0.76"
"1000332","1000081","f57e85f3-b496-49fb-9093-d54db5b9fc6e","627","EUR","1.21"
"1000166","1000082","673ffd8a-5738-4393-9685-f47f51db9462","168","EUR","1.21"
"1000380","1000083","71bd3c10-d6be-4c31-9942-9c4469c05a62","915","EUR","1.21"
"1000342","1000084","7a66fe7e-60c1-48cb-8073-67c7764b834d","866","EUR","1.21"
"1000267","1000085","b4477aca-3055-4b91-837c-455f3577cb1c","794","SGD","0.76"
"1000258","1000086","d4bf65dd-2971-4f62-bf3b-6cd923c5cebb","363","SGD","0.76"
"1000038","1000087","600552ac-cb69-48e3-8da6-4453e5af4b77","647","SGD","0.76"
"1000152","1000088","c9b90588-858c-4ef0-984b-0cc377a255f1","548","EUR","1.21"
"1000055","1000089","d7d4b37f-e56e-47a0-9225-0912ea5bb30d","263","THB","0.033"
"1000333","1000090","51438f54-f1a0-41c5-ac7c-8dead03a1a9d","735","THB","0.033"
"1000125","1000091","ad5bab70-fa3f-4c23-beed-55ddde777a77","565","SGD","0.76"
"1000327","1000092","17bd1cf6-af32-41fd-9640-38096a364358","939","EUR","1.21"
"1000042","1000093","5506bfcc-adaa-4bca-9f05-0b73e588700a","699","EUR","1.21"
"1000365","1000094","efb88987-7f8b-4735-8e8d-ef39172b3b98","682","THB","0.033"
"1000383","1000095","f57e85f3-b496-49fb-9093-d54db5b9fc6e","156","EUR","1.21"
"1000386","1000096","9d771c0b-f1e8-4297-ab7b-973a65d713e6","319","THB","0.033"
"1000171","1000097","a392b3cb-38a0-4627-b501-c2d81d91310c","236","THB","0.033"
"1000331","1000098","01be2923-e4c2-4798-af04-7d6a03933d49","13","SGD","0.76"
"1000213","1000099","8d2cb532-f1d1-4e0e-a79b-efa6791f589a","674","EUR","1.21"
"1000359","1000100","1ee7c757-b0a3-49a5-98eb-0814b62ddcd4","957","SGD","0.76"
"1000161","1000101","0ba46f30-a607-4020-ac0a-81f703795ab7","780","THB","0.033"
"1000197","1000102","c71bac1d-908a-40c3-9979-8ed203e4efb7","327","EUR","1.21"
"1000248","1000103","3ed2931d-bec3-40c6-a984-c707f620d554","994","EUR","1.21"
"1000003","1000104","8205ae12-7607-49d7-b603-0a9359c366b8","588","EUR","1.21"
"1000239","1000105","66b55f0d-f213-4b8e-a527-ebce3249e7a3","926","EUR","1.21"
"1000152","1000106","6525902f-a0ae-473e-929c-65d9621fa91f","874","THB","0.033"
"1000124","1000107","def540e2-67e6-41b3-b2df-687719ec7fb9","515","THB","0.033"
